GW_filename,detected,GRB_filename,KN_coords
10255,False,,
10257,False,,
10258,False,,
10280,False,,
10303,False,,
10308,False,,
10310,False,,
10311,False,,
10326,True,GBM_bns_10326,"(3.5238471, -0.24197854)"
10331,False,,
10357,True,GBM_bns_10357,"(3.6200874, 0.019066289)"
10446,False,,
10471,False,,
10479,False,,
10483,False,,
10485,False,,
10488,False,,
10498,False,,
10504,False,,
10512,False,,
10521,False,,
10523,False,,
10537,False,,
10568,False,,
10593,False,,
10595,False,,
10597,False,,
10603,False,,
10624,False,,
10645,False,,
10652,False,,
10662,False,,
10705,False,,
10721,False,,
10737,False,,
10761,False,,
10799,False,,
10825,False,,
10854,False,,
10903,False,,
10906,False,,
10946,False,,
10953,False,,
10955,False,,
10966,False,,
11029,False,,
11048,False,,
11058,False,,
11063,False,,
11135,False,,
11139,False,,
11140,False,,
11147,True,GBM_bns_11147,"(3.0967732, -0.59454121)"
11164,False,,
11168,False,,
11212,False,,
11217,False,,
11238,False,,
11241,False,,
11250,True,GBM_bns_11250,"(0.80658635, -1.1864215)"
11251,False,,
11286,False,,
11296,False,,
11297,True,GBM_bns_11297,"(1.0237723, 0.69191517)"
11326,False,,
11354,False,,
11397,False,,
11421,False,,
11455,False,,
11458,False,,
11499,True,GBM_bns_11499,"(1.9467779, 0.35626017)"
11507,False,,
11508,False,,
11525,False,,
11527,False,,
11565,False,,
11575,True,GBM_bns_11575,"(0.18452915, 0.55390802)"
11633,False,,
11635,False,,
11640,False,,
11654,False,,
11663,False,,
11664,True,GBM_bns_11664,"(4.3337066, 0.51746051)"
11679,True,GBM_bns_11679,"(4.0962977, 0.2229039)"
11680,False,,
11695,False,,
11707,False,,
11710,False,,
11737,True,GBM_bns_11737,"(5.5742019, -0.12942909)"
11739,True,GBM_bns_11739,"(4.1421736, 1.1617526)"
11748,False,,
11787,False,,
11806,False,,
11821,False,,
11848,False,,
11902,False,,
11907,False,,
11914,False,,
11918,False,,
11944,False,,
11968,False,,
11977,False,,
12002,False,,
12021,False,,
12041,False,,
12044,False,,
12050,True,GBM_bns_12050,"(5.4892434, 0.62896698)"
12061,False,,
12066,False,,
12074,False,,
12080,False,,
12093,False,,
12139,False,,
12178,True,GBM_bns_12178,"(4.8136544, 0.51847016)"
12182,False,,
12183,False,,
12203,False,,
12220,False,,
12233,False,,
12353,False,,
12387,False,,
12389,False,,
12402,False,,
12416,False,,
12422,False,,
12436,True,GBM_bns_12436,"(4.5392179, 0.49028562)"
12478,False,,
12488,False,,
12536,False,,
12543,False,,
12549,False,,
12554,False,,
12571,False,,
12618,False,,
12628,False,,
12634,False,,
12648,False,,
12668,False,,
12681,True,GBM_bns_12681,"(3.3731349, -0.5286503)"
12702,False,,
12706,False,,
12715,False,,
12716,False,,
12721,False,,
12757,False,,
12768,False,,
12776,False,,
12783,False,,
12784,False,,
12796,False,,
12808,False,,
12831,False,,
12848,False,,
12925,False,,
12933,False,,
12940,False,,
12977,False,,
13010,False,,
13013,False,,
13044,False,,
13069,False,,
13083,False,,
13085,False,,
13135,False,,
13150,False,,
13161,False,,
13206,False,,
13212,False,,
13230,False,,
13245,False,,
13259,False,,
13261,True,GBM_bns_13261,"(2.3542263, -0.46382054)"
13277,False,,
13280,True,GBM_bns_13280,"(3.9275276, -0.10791232)"
13283,False,,
13286,False,,
13299,False,,
13317,False,,
13324,False,,
13334,False,,
13368,False,,
13415,False,,
13418,False,,
13422,False,,
13452,False,,
13456,False,,
13478,True,GBM_bns_13478,"(4.177691, 0.08236926)"
13594,False,,
13617,False,,
13653,False,,
13663,True,GBM_bns_13663,"(3.366108, 0.019257052)"
13666,False,,
13688,False,,
13693,False,,
13714,False,,
13742,False,,
13749,False,,
13787,False,,
13797,False,,
13851,False,,
13883,False,,
13897,False,,
13915,False,,
13921,True,GBM_bns_13921,"(6.181329, 0.62240111)"
13963,False,,
13969,False,,
13986,False,,
13996,False,,
14002,False,,
14023,False,,
14032,False,,
14064,False,,
14082,False,,
14087,False,,
14140,False,,
14154,False,,
14163,True,GBM_bns_14163,"(6.2045763, 0.54452636)"
14190,False,,
14208,False,,
14217,False,,
14227,False,,
14231,False,,
14239,False,,
14242,True,GBM_bns_14242,"(4.9544936, 1.2734773)"
14252,False,,
14255,False,,
14257,False,,
14271,False,,
14290,False,,
14298,False,,
14299,False,,
14318,False,,
14327,False,,
14332,False,,
14339,True,GBM_bns_14339,"(3.8111139, -0.25232618)"
14348,False,,
14365,False,,
14374,False,,
14420,False,,
14440,True,GBM_bns_14440,"(3.5988892, 0.42359774)"
14453,False,,
14455,False,,
14480,False,,
14490,False,,
14497,False,,
14514,False,,
14518,False,,
14554,False,,
14557,False,,
14625,False,,
14635,True,GBM_bns_14635,"(5.0270038, 1.1600811)"
14646,False,,
14650,True,GBM_bns_14650,"(5.1086537, 0.60877511)"
14667,False,,
14688,False,,
14701,False,,
14719,False,,
14725,False,,
14755,False,,
14783,False,,
14795,False,,
14803,False,,
14811,False,,
14813,False,,
14827,False,,
14845,False,,
14879,False,,
14888,False,,
14892,False,,
14923,False,,
14965,False,,
14996,True,GBM_bns_14996,"(0.38736828, -0.45280182)"
15016,False,,
15042,False,,
15084,False,,
15099,False,,
15179,False,,
15208,False,,
15223,False,,
15251,False,,
15254,False,,
15257,False,,
15274,False,,
15308,False,,
15328,False,,
15354,False,,
15410,False,,
15423,True,GBM_bns_15423,"(0.89413132, 0.20586464)"
15432,False,,
15465,False,,
15471,False,,
15488,False,,
15518,False,,
15520,False,,
15536,False,,
15551,False,,
15555,False,,
15577,False,,
15588,False,,
15623,False,,
15633,False,,
15638,False,,
15653,False,,
15728,False,,
15743,False,,
15794,False,,
15802,False,,
15846,False,,
15848,False,,
15871,True,GBM_bns_15871,"(0.059305648, -0.088436456)"
15875,False,,
15885,True,GBM_bns_15885,"(3.7216903, 1.0524415)"
15917,False,,
15929,False,,
15935,False,,
15937,False,,
15944,False,,
15970,True,GBM_bns_15970,"(2.2096394, 0.61065352)"
15973,False,,
16018,False,,
16036,True,GBM_bns_16036,"(5.2264745, 0.098325871)"
16069,False,,
16094,False,,
16122,True,GBM_bns_16122,"(4.5697019, 0.11139477)"
16163,False,,
16194,False,,
16235,False,,
16245,True,GBM_bns_16245,"(1.0062395, 0.59330391)"
16265,False,,
16279,False,,
16295,False,,
16304,True,GBM_bns_16304,"(2.7780308, -0.21134183)"
16338,False,,
16350,False,,
16359,False,,
16377,False,,
16389,False,,
16436,False,,
16443,False,,
16469,False,,
16471,False,,
16503,False,,
16527,False,,
16529,False,,
16581,False,,
16600,False,,
16615,False,,
16650,False,,
16654,False,,
16663,False,,
16677,True,GBM_bns_16677,"(2.1119365, -0.31496299)"
16679,False,,
16695,False,,
16703,False,,
16721,False,,
16731,False,,
16737,False,,
16754,False,,
16787,False,,
16798,True,GBM_bns_16798,"(4.4639513, -0.015223409)"
16804,False,,
16818,False,,
16833,False,,
16841,False,,
16842,False,,
16846,False,,
16856,False,,
16864,False,,
16868,True,GBM_bns_16868,"(4.8217104, -0.88039057)"
16902,False,,
16912,False,,
16913,False,,
16915,False,,
16920,False,,
16948,False,,
16985,False,,
17009,False,,
17010,False,,
17014,False,,
17056,False,,
17085,False,,
17103,False,,
17114,False,,
17133,False,,
17155,False,,
17164,False,,
17210,True,GBM_bns_17210,"(3.1235089, 0.59168216)"
17226,True,GBM_bns_17226,"(2.5816481, 0.47543163)"
17264,False,,
17271,False,,
17277,False,,
17278,False,,
17356,False,,
17365,False,,
17375,False,,
17392,False,,
17416,True,GBM_bns_17416,"(0.64273541, -0.3056062)"
17435,False,,
17445,False,,
17471,False,,
17479,False,,
17480,True,GBM_bns_17480,"(0.57370275, 0.95317806)"
17502,True,GBM_bns_17502,"(4.4053924, -1.2739401)"
17505,False,,
17541,False,,
17567,False,,
17572,False,,
17576,False,,
17615,False,,
17627,False,,
17633,False,,
17648,False,,
17660,True,GBM_bns_17660,"(5.7122224, -0.51525306)"
17673,False,,
17686,False,,
17725,False,,
17740,False,,
17749,False,,
17775,False,,
17792,False,,
17813,True,GBM_bns_17813,"(1.9461816, -0.59327811)"
17850,False,,
17856,False,,
17863,False,,
17871,False,,
17908,False,,
17910,False,,
17945,False,,
17988,False,,
17997,False,,
18000,False,,
18018,False,,
18064,False,,
18095,True,GBM_bns_18095,"(5.1754732, -1.1819819)"
18098,False,,
18111,False,,
18126,False,,
18127,False,,
18134,False,,
18182,False,,
18197,False,,
18199,False,,
18201,False,,
18228,False,,
18246,False,,
18250,False,,
18253,False,,
18274,False,,
18285,True,GBM_bns_18285,"(5.9912281, -0.35012734)"
18299,False,,
18310,False,,
18342,False,,
18349,False,,
18389,False,,
18408,False,,
18409,False,,
18415,False,,
18435,True,GBM_bns_18435,"(0.58267626, 0.15757717)"
18442,False,,
18448,False,,
18455,False,,
18457,False,,
18500,False,,
18530,False,,
18567,False,,
18575,False,,
18579,False,,
18607,False,,
18637,False,,
18644,False,,
18669,False,,
18698,False,,
18724,False,,
18727,False,,
18740,False,,
18748,False,,
18764,False,,
18770,True,GBM_bns_18770,"(3.9665266, 0.25780684)"
18782,False,,
18819,False,,
18825,False,,
18838,False,,
18843,False,,
18849,True,GBM_bns_18849,"(3.2278453, 0.16641455)"
18891,False,,
18913,True,GBM_bns_18913,"(2.3058552, -0.37813893)"
18937,False,,
18938,False,,
18981,False,,
18987,False,,
18989,False,,
19027,False,,
19029,False,,
19043,False,,
19052,False,,
19063,False,,
19071,False,,
19073,False,,
19114,False,,
19163,False,,
19193,False,,
19197,False,,
19236,False,,
19244,False,,
19268,False,,
19271,False,,
19281,False,,
19288,False,,
19302,False,,
19317,False,,
19344,False,,
19350,False,,
19377,False,,
19385,False,,
19413,False,,
19427,False,,
19486,True,GBM_bns_19486,"(0.12745683, -0.079306113)"
19515,False,,
19527,False,,
19539,False,,
19540,False,,
19545,False,,
19560,False,,
19569,False,,
19579,True,GBM_bns_19579,"(5.6668508, 0.10668732)"
19608,False,,
19625,False,,
19663,False,,
19665,False,,
19669,False,,
19675,False,,
19681,False,,
19689,False,,
19695,False,,
19704,False,,
19722,True,GBM_bns_19722,"(3.0803773, -0.74237822)"
19723,False,,
19727,False,,
19745,False,,
19770,False,,
19781,False,,
19810,False,,
19843,False,,
19855,False,,
19866,False,,
19870,False,,
19898,True,GBM_bns_19898,"(1.6286989, -0.21126096)"
19907,False,,
19940,False,,
19942,False,,
19946,False,,
19962,False,,
19985,False,,
19991,False,,
20040,True,GBM_bns_20040,"(2.4507131, 0.058382177)"
20047,True,GBM_bns_20047,"(5.0859678, -0.43073733)"
20065,False,,
20082,False,,
20096,False,,
20133,False,,
20200,False,,
20229,False,,
20232,False,,
20249,False,,
20292,False,,
20338,False,,
20339,False,,
20342,False,,
20357,False,,
20371,False,,
20374,True,GBM_bns_20374,"(3.1194561, 0.6505649)"
20427,False,,
20428,False,,
20431,False,,
20440,False,,
20483,False,,
20488,False,,
20491,False,,
20494,False,,
20507,False,,
20509,False,,
20518,False,,
20532,False,,
20535,False,,
20539,False,,
20555,False,,
20560,False,,
20565,True,GBM_bns_20565,"(3.3489949, -1.2171949)"
20589,False,,
20618,False,,
20625,False,,
20646,False,,
20666,True,GBM_bns_20666,"(4.3438538, -0.17341604)"
20684,False,,
20687,False,,
20688,False,,
20735,False,,
20741,False,,
20822,False,,
20842,False,,
20853,False,,
20874,False,,
20895,False,,
20909,False,,
20914,False,,
20916,False,,
20926,False,,
21028,False,,
21069,False,,
21070,False,,
21088,False,,
21104,False,,
21111,False,,
21119,False,,
21132,False,,
21143,False,,
21163,False,,
21197,False,,
21200,False,,
21229,False,,
21285,False,,
21300,True,GBM_bns_21300,"(3.9796593, 1.2449478)"
21306,False,,
21312,False,,
21402,True,GBM_bns_21402,"(0.77115398, -0.97613854)"
21406,False,,
21419,False,,
21427,False,,
21428,False,,
21435,False,,
21478,False,,
21491,False,,
21492,False,,
21512,True,GBM_bns_21512,"(2.4112405, -0.66615239)"
21518,True,GBM_bns_21518,"(4.1480224, -1.1449701)"
21544,False,,
21567,False,,
21571,False,,
21586,False,,
21589,True,GBM_bns_21589,"(5.005085, -0.82288333)"
21590,False,,
21594,False,,
21603,False,,
21608,False,,
21624,False,,
21637,False,,
21650,False,,
21651,False,,
21659,False,,
21663,False,,
21672,False,,
21677,False,,
21726,False,,
21754,True,GBM_bns_21754,"(1.2087775, 0.15106175)"
21765,False,,
21781,False,,
21801,False,,
21822,False,,
21827,False,,
21831,False,,
21847,True,GBM_bns_21847,"(3.9927843, -0.4448028)"
21848,False,,
21866,False,,
21880,False,,
21892,False,,
21900,False,,
21903,False,,
21919,False,,
21932,False,,
21948,False,,
22003,False,,
22027,False,,
22060,False,,
